Warehouse,Product,Stock Level,Reorder Level,Supplier,Last Updated,Transport Cost
WH-A,Laptop,145.0,238,Supplier-Z,2025-11-09,2037
WH-E,Mobile,,73,Supplier-B,2024-09-25,2261
WH-B,Laptop,121.0,229,Supplier-B,2024-07-20,2592
WH-D,Monitor,321.0,51,Supplier-A,2026-01-27,3101
WH-B,Printer,162.0,245,Supplier-Z,2025-01-30,2308
WH-A,Mobile,69.0,138,Supplier-A,2025-01-07,1766
WH-C,Laptop,294.0,146,Supplier-A,2024-12-21,2972
WH-E,Keyboard,473.0,197,Supplier-B,2024-10-17,3117
WH-A,Laptop,415.0,70,Supplier-Y,2026-01-24,3132
WH-B,Mobile,162.0,143,Supplier-A,2024-09-18,2019
WH-C,Mouse,363.0,224,Supplier-Y,2025-12-08,2220
WH-A,Tablet,393.0,168,Supplier-B,2026-01-27,2823
WH-C,Monitor,451.0,64,Supplier-Z,2026-05-24,2920
WH-A,Mouse,,195,Supplier-A,2025-08-28,1048
WH-C,Monitor,222.0,214,Supplier-A,2024-09-06,2450
WH-B,Keyboard,146.0,187,Supplier-Y,2025-10-02,1272
WH-E,Printer,224.0,85,Supplier-B,2025-05-24,3382
WH-D,Mobile,460.0,210,Supplier-X,2024-07-25,3011
WH-D,Mobile,215.0,169,Supplier-A,2024-07-24,2765
WH-C,Laptop,369.0,242,Supplier-X,2024-09-11,2993
WH-C,Mobile,242.0,50,Supplier-Z,2024-12-17,2645
WH-C,Tablet,487.0,210,Supplier-B,2024-12-28,3463
WH-E,Monitor,211.0,188,Supplier-Y,2025-07-28,2781
WH-E,Laptop,185.0,78,Supplier-B,2025-10-11,3290
WH-C,Monitor,143.0,70,Supplier-X,2024-07-21,1722
WH-D,Mobile,412.0,218,Supplier-B,2025-09-09,3429
WH-E,Tablet,290.0,158,Supplier-Z,2024-12-02,3028
WH-E,Monitor,224.0,216,Supplier-Z,2026-01-08,2713
WH-D,Camera,146.0,136,Supplier-X,2025-11-17,2498
WH-E,Monitor,,231,Supplier-B,2025-12-27,2373
WH-A,Monitor,,134,Supplier-X,2025-08-28,886
WH-E,Monitor,362.0,188,Supplier-Z,2025-05-22,3003
WH-E,Camera,421.0,154,Supplier-Y,2024-12-19,3710
WH-A,Mobile,201.0,169,Supplier-A,2025-06-14,2295
WH-A,Mobile,226.0,77,Supplier-X,2025-10-01,1755
WH-B,Monitor,249.0,96,Supplier-B,2025-02-02,2339
WH-D,Monitor,246.0,190,Supplier-X,2026-03-21,2238
WH-A,Laptop,494.0,110,Supplier-X,2026-05-07,2917
WH-D,Camera,129.0,65,Supplier-A,2024-07-06,2821
WH-D,Laptop,155.0,250,Supplier-A,2026-02-10,2947
WH-C,Printer,358.0,89,Supplier-B,2026-03-18,3221
WH-C,Monitor,316.0,65,Supplier-X,2024-11-02,2580
WH-C,Laptop,319.0,185,Supplier-X,2025-12-25,2787
WH-A,Mobile,55.0,222,Supplier-Y,2025-05-25,1656
WH-B,Printer,475.0,198,Supplier-X,2025-03-22,3179
WH-A,Mobile,356.0,183,Supplier-A,2025-02-01,2479
WH-C,Monitor,142.0,83,Supplier-Z,2024-10-29,2219
WH-C,Camera,495.0,68,Supplier-Z,2024-12-15,3539
WH-D,Mobile,295.0,117,Supplier-X,2026-02-14,2502
WH-C,Mobile,209.0,162,Supplier-Y,2025-03-19,2503
WH-E,Keyboard,433.0,52,Supplier-B,2024-09-18,3240
WH-E,Keyboard,500.0,117,Supplier-X,2024-09-11,2759
WH-A,Tablet,164.0,233,Supplier-Z,2025-04-22,1917
